N,Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen,Version,Studiengang,AbschlussArt
53,"Prüfungsordnung Informatik, Master, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacrewwlf,12.11.2024,2024/137,Berichtigung der 10. Änderungsordnung (Gesamtfassung),31.03.2026,2010 s,Informatik,Master
54,"Prüfungsordnung Fahrzeugtechnik und Transport, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqvjlsz,31.10.2024,2024/136,2. Änderungsordnung (Gesamtfassung),,2020,Fahrzeugtechnik und Transport,Master
55,"Prüfungsordnung Produktentwicklung, Master, (04/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqvixpb,31.10.2024,2024/135,3. Änderungsordnung (Gesamtfassung),,2020,Produktentwicklung,Master
56,"Prüfungsordnung Produktionstechnik, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqvhclj,31.10.2024,2024/134,10. Änderungsordnung (Gesamtfassung),,2011 s,Produktionstechnik,Master
57,"Prüfungsordnung Allgemeiner Maschinenbau, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqtbmii,29.10.2024,2024/133,10. Änderungsordnung (Gesamtfassung),,2011 s,Allgemeiner Maschinenbau,Master
58,"Prüfungsordnung Energietechnik, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqtawie,29.10.2024,2024/132,2. Änderungsordnung (Gesamtfassung),,2020,Energietechnik,Master
59,"Prüfungsordnung Kunststoff- und Textiltechnik, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqrpogp,28.10.2024,2024/131,8. Änderungsordnung (Gesamtfassung),,2011 s,Kunststoff- und Textiltechnik,Master
60,"Prüfungsordnung Luft- und Raumfahrttechnik, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqroljh,28.10.2024,2024/130,7. Änderungsordnung (Gesamtfassung),,2011 s,Luft- und Raumfahrttechnik,Master
61,Digitallehrkonzept der Fakultät für Maschinenwesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqjjxzv,17.10.2024,2024/129,Sonstiges,,,,nan
62,Fachschaftszuordnungsordnung der Studierendenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqjizlj,17.10.2024,2024/128,8. Änderungsordnung (Gesamtfassung),,,,nan
63,"Prüfungsordnung Verfahrenstechnik, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqjisqu,17.10.2024,2024/127,10. Änderungsordnung (Gesamtfassung),,2011 s,Verfahrenstechnik,Master
64,"Prüfungsordnung Automotive Engineering, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqjhfjg,17.10.2024,2024/126,1. Änderungsordnung (Gesamtfassung),,2020,Automotive Engineering,Master
65,"Prüfungsordnung Media Informatics, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpysbox,08.10.2024,2024/125,3. Änderungsordnung (Gesamtfassung),30.09.2028,2019,Media Informatics,Master
66,Studien- und Prüfungsordnung Zahnmedizin,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacprhuxw,30.09.2024,2024/124,1. Änderungsordnung (Gesamtfassung),,,Zahnmedizin,Staatsexamen Medizin / Zahnmedizin
67,"Studien- und Prüfungsordnung, Medizin, Modellstudiengang",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpojoah,25.09.2024,2024/123,6. Änderungsordnung (Gesamtfassung),,,Medizin (910),nan
68,"Prüfungsordnung Betriebswirtschaftslehre (Business Administration), Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpojcgs,25.09.2024,2024/122,3. Änderungsordnung (Gesamtfassung),,2021,Betriebswirtschaftslehre,Master
69,"Prüfungsordnung Wirtschaftswissenschaft, Master, (10/2014 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpoiylh,25.09.2024,2024/121,10. Änderungsordnung (Gesamtfassung),,2014 s,Wirtschaftswissenschaften,Master
70,"Prüfungsordnung Informatik, Master, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpmybwn,24.09.2024,2024/119,2. Änderungsordnung (Gesamtfassung),,2023,Informatik,Master
71,"Prüfungsordnung Informatik, Master, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpmxxls,24.09.2024,2024/118,10. Änderungsordnung (Gesamtfassung),31.03.2026,2010 s,Informatik,Master
72,"Prüfungsordnung Informatik, Bachelor, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpmxvci,24.09.2024,2024/117,4. Änderungsordnung (Gesamtfassung),30.09.2026,2018,Informatik,Bachelor
73,"Prüfungsordnung Informatik, Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpmxsvv,24.09.2024,2024/116,3. Änderungsordnung (Gesamtfassung),,2022,Informatik,Bachelor
74,"Prüfungsordnung Maschinenbau, Bachelor, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpmuwrp,24.09.2024,2024/115,9. Änderungsordnung (Gesamtfassung),,2011 s,Maschinenbau,Bachelor
75,"Prüfungsordnung Software Systems Engineering, Master, (10/2011)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpcajbk,13.09.2024,2024/113,5. Änderungsordnung (Gesamtfassung),30.09.2027,2011,Software Systems Engineering,Master
76,Gleichstellungsquote für Berufungen mit und ohne Tenure Track,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacpawijj,12.09.2024,2024/112,Sonstiges,30.09.2027,,,nan
77,"Prüfungsordnung Master of Science in Management and Engineering in Technology, Innovation, Marketing and Entrepreneurship (MME-TIME), Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoyqevh,10.09.2024,2024/111,Ordnung,,2025,"Management and Engineering in Technology, Innovation, Marketing and Entrepreneurship (privatrechtlich)",Master
78,Digitallehrkonzept der Fakultät für Architektur,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoyptps,10.09.2024,2024/110,Sonstiges,,,Architektur,nan
79,"Prüfungsordnung Georessourcenmanagement, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoyopls,10.09.2024,2024/109,6. Änderungsordnung (Gesamtfassung),,2019,Georessourcenmanagement,Master
80,"Prüfungsordnung Angewandte Geowissenschaften, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoyodmw,10.09.2024,2024/108,6. Änderungsordnung (Gesamtfassung),,2019,Angew. Geowissenschaften,Master
81,"Prüfungsordnung Georessourcenmanagement, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoynjdz,10.09.2024,2024/107,5. Änderungsordnung (Gesamtfassung),,2019,Georessourcenmanagement,Bachelor
82,"Prüfungsordnung Angewandte Geowissenschaften, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoymyfz,10.09.2024,2024/106,5. Änderungsordnung (Gesamtfassung),,2019,Angew. Geowissenschaften,Bachelor
83,"Prüfungsordnung Management Science and Mathematics, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqxplio,04.09.2024,2024/105,Berichtigung der Ordnung,,2024,Management Science and Mathematics,Master
84,"Prüfungsordnung Applied Health Informatics and Digital Medicine (AHI), Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacogyajc,22.08.2024,2024/100,1. Änderungsordnung (Gesamtfassung),,2024,Applied Health Informatics and Digital Medicine (privatrechtlich),Master
85,"Prüfungsordnung Applied Geophysics, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacogxfoc,22.08.2024,2024/099,4. Änderungsordnung (Gesamtfassung),,2019,Applied Geophysics,Master
86,"Prüfungsordnung Data Analytics and Decision Science, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacockuau,19.08.2024,2024/098,Ordnung,,2025,Data Analytics and Decision Science (privatrechtlich),Master
87,"Prüfungsordnung Executive Master of Business Administration (EMBA), Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoapzmc,15.08.2024,2024/097,5. Änderungsordnung (Gesamtfassung),,2021,Executive MBA,Master
88,Promotionsordnung Fakultät Architektur,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacoapdvx,15.08.2024,2024/096,5. Änderungsordnung (Gesamtfassung),,,Architektur,nan
89,"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Berufskollegs, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnrlvrw,01.08.2024,2024/095,Ordnung,,2025,Biologie,Lehramt
90,"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnrldtv,01.08.2024,2024/094,Ordnung,,2025,Biologie,Lehramt
91,"Prüfungsordnung Biowissenschaften, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnoxazt,29.07.2024,2024/093,Ordnung,,2025,Biowissenschaften,Master
92,"Prüfungsordnung Nachhaltige Biotechnologie, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnowxdf,29.07.2024,2024/092,Ordnung,,2025,Nachhaltige Biotechnologie,Master
93,"Prüfungsordnung Transforming City Regions, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnotfhm,29.07.2024,2024/091,4. Änderungsordnung (Gesamtfassung),,2019,Transforming City Regions,Master
94,"Prüfungsordnung Stadtplanung, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnmucjm,25.07.2024,2024/090,7. Änderungsordnung (Gesamtfassung),,2019,Stadtplanung,Master
95,"Prüfungsordnung Molekulare und Angewandte Biotechnologie, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnmsujl,25.07.2024,2024/089,2. Änderungsordnung (Gesamtfassung),,2024,Molekulare und angewandte Biotechnologie,Bachelor
96,"Prüfungsordnung Biologie, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnmugec,25.07.2024,2024/088,2. Änderungsordnung (Gesamtfassung),,2024,Biologie,Bachelor
97,"Prüfungsordnung Architektur, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnlfska,24.07.2024,2024/087,9. Änderungsordnung (Gesamtfassung),,2019,Architektur,Master
98,"Prüfungsordnung Architektur, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnlfkab,24.07.2024,2024/086,6. Änderungsordnung (Gesamtfassung),,2019,Architektur,Bachelor
99,Auswahlkriterien für das Auswahlverfahren in dem örtlich zulassungsbeschränkten Bachelorstudiengang Psychologie (polyvalent),https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnlfdbh,24.07.2024,2024/085,Ordnung,,,Psychologie polyvalent,nan
100,"Prüfungsordnung Logopädie, Modellstudiengang, Bachelor, (10/2012 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnimekr,23.07.2024,2024/084,2. Änderungsordnung (Gesamtfassung),30.09.2029,2012 s,Medizin (Modellstudiengang),Bachelor
101,"Prüfungsordnung Lehr- und Forschungslogopädie, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacniltev,23.07.2024,2024/083,2. Änderungsordnung (Gesamtfassung),,2019,Lehr- und Forschungslogopädie,Master
102,"Prüfungsordnung Biologie, Master, (10/2016)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnilljb,23.07.2024,2024/082,8. Änderungsordnung (Gesamtfassung),31.03.2029,2016,Biologie,Master
103,"Prüfungsordnung Molekulare und Angewandte Biotechnologie, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnikvte,23.07.2024,2024/081,7. Änderungsordnung (Gesamtfassung),31.03.2029,2017,Molekulare und angewandte Biotechnologie,Master
104,"Prüfungsordnung Biomedical Engineering, Master, (10/2015)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnihfun,23.07.2024,2024/080,5. Änderungsordnung (Gesamtfassung),,2015,Biomedical Engineering,Master
105,"Prüfungsordnung Software Systems Engineering, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnbzhra,16.07.2024,2024/079,Ordnung,,2025,Software Systems Engineering,Master
106,"Prüfungsordnung Wirtschaftsmathematik, Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacnbyqrx,16.07.2024,2024/078,2. Änderungsordnung (Gesamtfassung),,2022,Wirtschaftsmathematik,Bachelor
107,Richtlinie zur Vergabe der Deutschlandstipendien im Rahmen des Bildungsfonds der RWTH Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmyigft,11.07.2024,2024/077,8. Änderungsordnung (Gesamtfassung),,,,nan
108,Sozialordnung der Studierendenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmyhytd,11.07.2024,2024/076,12. Änderungsordnung (Gesamtfassung),,,,nan
109,"Prüfungsordnung Elektrotechnik und Informationstechnik, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmhqwrw,25.06.2024,2024/072,Ordnung,,2024,Elektrotechnik u. Informationstechnik,Master
110,"Prüfungsordnung Computer Engineering Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmhpmwe,25.06.2024,2024/071,Ordnung,,2024,Computer Engineering,Master
111,"Prüfungsordnung Nachhaltige Werkstofftechnik, Master, (04/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmfsuxo,21.06.2024,2024/070,Ordnung,,2025,Nachhaltige Werkstofftechnik,Master
112,"Prüfungsordnung Rohstoffingenieurwesen, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmfsrmt,21.06.2024,2024/069,9. Änderungsordnung (Gesamtfassung),31.03.2028,2018,Rohstoffingenieurwesen,Master
113,"Prüfungsordnung Nachhaltige Energieversorgung, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmfseju,21.06.2024,2024/068,9. Änderungsordnung (Gesamtfassung),31.03.2028,2018,Nachhaltige Energieversorgung,Master
114,"Prüfungsordnung Nachhaltige Rohstoff- und Energieversorgung, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmfqaws,21.06.2024,2024/067,1. Änderungsordnung (Gesamtfassung),,2024,Nachhaltige Rohstoff- und Energieversorgung,Master
115,"Prüfungsordnung Nachhaltige Rohstoff- und Energieversorgung, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacmahxbs,14.06.2024,2024/066,Ordnung,,2024,Nachhaltige Rohstoff- und Energieversorgung,Bachelor
116,"Prüfungsordnung Nachhaltige Werkstofftechnik, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclryquo,04.06.2024,2024/064,Ordnung,,2024,Nachhaltige Werkstofftechnik,Bachelor
117,"Prüfungsordnung Management Science and Mathematics, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclnydxg,28.05.2024,2024/063,Ordnung,,2024,Management Science and Mathematics,Master
118,"Prüfungsordnung Unterrichtsfach Politik, Bachelor, Lehramt an Berufskollegs (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclnxsvh,28.05.2024,2024/062,3. Änderungsordnung (Gesamtfassung),,2013 s,Politik,Lehramt
119,"Prüfungsordnung Unterrichtsfach Wirtschaftslehre/Politik, Bachelor, Lehramt an Berufskollegs (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclnxkfo,28.05.2024,2024/061,2. Änderungsordnung (Gesamtfassung),,2017,Wirtschaftswissenschaften/Politik Berufskolleg,Lehramt
120,"Prüfungsordnung Gesellschaftswissenschaften, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclnxexk,28.05.2024,2024/060,3. Änderungsordnung (Gesamtfassung),,2019,Gesellschaftswissenschaften,Bachelor
121,"Prüfungsordnung Soziologie mit dem Schwerpunkt Technikforschung, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclkxabz,23.05.2024,2024/059,Ordnung,,2024,Soziologie mit Schwerpunkt Technikforschung,Bachelor
122,"Prüfungsordnung Soziologie mit dem Schwerpunkt Technikforschung, Bachelor, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclkwtqz,23.05.2024,2024/058,3. Änderungsordnung (Gesamtfassung),31.03.2028,2020,Soziologie mit Schwerpunkt Technikforschung,Bachelor
123,"Prüfungsordnung Soziologie, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaclkuqtf,23.05.2024,2024/057,Ordnung,,2024,Soziologie,Master
124,"Prüfungsordnung Logopädie dual, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackxaiag,02.05.2024,2024/056,Ordnung,,2024,Logopädie (Dualer Studiengang),Bachelor
125,Fachschaftsordnung der Fachschaft 7/3 Kommunikationswissenschaft & Psychologie,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackvmwfb,30.04.2024,2024/055,6. Änderungsordnung (Gesamtfassung),,,,nan
126,Einschreibungsordnung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackqhqke,25.04.2024,2024/054,21. Änderungsordnung (Gesamtfassung),,,,nan
127,Jahresabschluss des Studierendenwerks Aachen - Anstalt des öffentlichen Rechts - für das Geschäftsjahr vom 1. Januar bis zum 31. Dezember 2022,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackgocfg,17.04.2024,2024/052,Sonstiges,,,,nan
128,Ergänzungsbestimmungen zu den Übergreifenden Prüfungsordnungen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackcqcof,12.04.2024,2024/050,Ordnung,,,,nan
129,"Prüfungsordnung Werkstoffingenieurwesen, Master, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaackcpygk,12.04.2024,2024/049,7. Änderungsordnung (Gesamtfassung),,2010 s,Werkstoffingenieurwesen,Master
130,"Richtlinien für die dienstliche Beurteilung der Beamtinnen und Beamten, Gesamtfassung",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjnuklk,25.03.2024,2024/046,Richtlinie,,,,nan
131,"Prüfungsordnung Networked Production Engineering, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjnuhve,25.03.2024,2024/045,3. Änderungsordnung (Gesamtfassung),30.09.2025,2020,Smart Production Engineering,Master
132,"Prüfungsordnung Smart Production Engineering, Master (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjnufzn,25.03.2024,2024/044,2. Änderungsordnung (Gesamtfassung),,2022,Smart Production Engineering,Master
133,"Prüfungsordnung Simulation Sciences, Master, (04/2010)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjjfin,20.03.2024,2024/043,2. Änderungsordnung (Gesamtfassung),,2010,Simulation Sciences,Master
