N,Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen,Version,Degree,Study Program,Keywords
1,Studien- und Prüfungsordnung Zahnmedizin,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacttlkav,14.02.2025,2025/030,Berichtigung der 1. Änderungsordnung (Gesamtfassung),,,Staatsexamen Zahnmedizin,Zahnmedizin,Studienordnung; Prüfungsordnung
2,"Prüfungsordnung Unterrichtsfach Mathematik, Lehramt an Berufskollegs, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaactuwwnz,14.02.2025,2025/029,3. Änderungsordnung (Gesamtfassung),30.09.2026,2019,Bachelor Lehramt,Mathematik,Prüfungsordnung; Lehramt an Berufskollegs
