Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen
"Richtlinien für die dienstliche Beurteilung der Beamtinnen und Beamten, Gesamtfassung",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjnuklk,25.03.2024,2024/046,Richtlinie,
"Prüfungsordnung Networked Production Engineering, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjnuhve,25.03.2024,2024/045,3. Änderungsordnung (Gesamtfassung),30.09.2025
"Prüfungsordnung Smart Production Engineering, Master (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjnufzn,25.03.2024,2024/044,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Simulation Sciences, Master, (04/2010)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjjfin,20.03.2024,2024/043,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Textile Engineering, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjjdpj,20.03.2024,2024/042,4. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Robotic Systems Engineering, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjjanw,20.03.2024,2024/041,2. Änderungsordnung (Gesamtfassung),
Wahlordnung der Studierendenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjivnu,20.03.2024,2024/040,9. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Management and Engineering in Production Systems (MME in Production Systems), Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjitwl,20.03.2024,2024/039,3. Änderungsordnung (Gesamtfassung),
Fachschaftsordnung 5/3 Geowissenschaften und Ressourcenmanagement,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjhwnb,20.03.2024,2024/036,3. Änderungsordnung (Gesamtfassung),
Fachschaftsordnung 4 Maschinenbau,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacjjgxba,20.03.2024,2024/034,6. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Computer Engineering Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacizyebg,12.03.2024,2024/033,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Computer Engineering Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacizwibn,12.03.2024,2024/032,2. Änderungsordnung (Gesamtfassung),31.03.2026
"Prüfungsordnung Elektrotechnik mit Orientierungssemester, Teilstudiengang Elektrotechnik und Informationstechnik mit Orientierungssemester, Bachelor, (04/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaciznsmu,12.03.2024,2024/031,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Elektrotechnik mit Orientierungssemester, Teilstudiengang Elektrotechnik, Informationstechnik und Technische Informatik mit Orientierungssemester, Bachelor, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaciznqoa,12.03.2024,2024/030,1. Änderungsordnung (Gesamtfassung),31.03.2025
"Prüfungsordnung Elektrotechnik, Informationstechnik und Technische Informatik, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaciznntk,12.03.2024,2024/029,2. Änderungsordnung (Gesamtfassung),30.09.2025
"Prüfungsordnung Elektrotechnik und Informationstechnik, Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaciznkbn,12.03.2024,2024/028,1. Änderungsordnung (Gesamtfassung),
Veröffentlichung der weiteren Tätigkeiten von Hochschulrat und Rektorat,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacixdgwq,08.03.2024,2024/027,Sonstiges,
"Prüfungsordnung Architektur, Bachelor, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacixbgmk,08.03.2024,2024/026,5. Änderungsordnung (Gesamtfassung),
Evaluationsordnung für Studium und Lehre,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacixbbzd,08.03.2024,2024/025,1. Änderungsordnung (Gesamtfassung),
Ordnung des Centers für Lehr- und Lernservices (CLS) der RWTH Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacixauzi,08.03.2024,2024/024,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Materialwissenschaften, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacimmvkf,27.02.2024,2024/021,Berichtigung der Ordnung,
"Prüfungsordnung Werkstoffingenieurwesen, Bachelor, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacimmcbi,27.02.2024,2024/020,3. Änderungsordnung (Gesamtfassung),31.03.2029
"Satzung des Clinical Trial Center Aachen, Medizinische Fakultät",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacieelkk,19.02.2024,2024/017,Ordnung,
"Prüfungsordnung Ökotoxikologie, Master, (10/2016)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacidtirb,19.02.2024,2024/013,5. Änderungsordnung (Gesamtfassung),31.03.2028
Geschäftsordnung des Rektorats,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaachqxkno,29.01.2024,2024/005,10. Änderungsordnung (Gesamtfassung),
Beitragsordnung des Studierendenwerks Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacheetfs,16.01.2024,2024/002,24. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Große berufliche Fachrichtung Bautechnik (Studiengangmodell III), Lehramt an Berufskollegs, Master, (04/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacheelby,16.01.2024,2024/001,Ordnung,
"Prüfungsordnung Elektrotechnik, Informationstechnik und Technische Informatik, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacgmuenw,20.12.2023,2023/142,5. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Mathematik, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacgcvcrg,08.12.2023,2023/139,Ordnung,
"Prüfungsordnung Resilient Civil Engineering (RCE), Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfzqidf,05.12.2023,2023/138,Ordnung,
"Prüfungsordnung Master of Public Administration in European Studies (MPA-ES), Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfzqaky,05.12.2023,2023/137,3. Änderungsordnung (Gesamtfassung),
Richtlinien zur Graduiertenförderung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfygrea,28.11.2023,2023/134,Richtlinie,
"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Berufskollegs, Master (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfujyls,28.11.2023,2023/133,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Gymnasien und Gesamtschulen, Master (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfujnly,28.11.2023,2023/132,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Berufskollegs, Bachelor (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfujcxv,28.11.2023,2023/131,2. Änderungsordnung (Gesamtfassung),30.09.2027
"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfuhzgx,28.11.2023,2023/130,3. Änderungsordnung (Gesamtfassung),30.09.2027
"Prüfungsordnung Physik, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfqjdph,23.11.2023,2023/127,9. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Technik, Lehramt an Gymnasien und Gesamtschulen, Bachelor (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfqikka,23.11.2023,2023/126,4. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Master of Science in Sustainability Management, Master, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfmqzde,20.11.2023,2023/125,Ordnung,
Ordnung zur Errichtung von wissenschaftlichen Einrichtungen und Betriebseinheiten,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfltrod,17.11.2023,2023/124,5. Änderungsordnung (Gesamtfassung),
"Fachschaftsordnung 1/1, Mathematik, Physik, Informatik",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacfltjsw,17.11.2023,2023/123,10. Änderungsordnung (Gesamtfassung),
Geschäftsordnung des Studierendenparlaments,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaceuqpkj,31.10.2023,2023/117,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Medical Data Science, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaceuqbbb,31.10.2023,2023/116,4. Änderungsordnung (Gesamtfassung),30.09.2026
"Prüfungsordnung Automatisierungstechnik, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaceogrtx,23.10.2023,2023/113,Berichtigung der 9. Änderungsordnung (Gesamtfassung),31.03.2026
"Prüfungsordnung Automatisierungstechnik, Master, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaceletaj,20.10.2023,2023/112,Berichtigung der 1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Physik Plus, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacejmlde,18.10.2023,2023/111,Berichtigung der Ordnung,
"Prüfungsordnung Mensch-Technik-Interaktion und -Kommunikation, Master, (04/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacdtgmfn,28.09.2023,2023/108,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Mensch-Technik-Interaktion und -Kommunikation, Bachelor, (04/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacdtgaye,28.09.2023,2023/107,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Computer Aided Conception and Production in Mechanical Engineering, Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacdtfpdp,28.09.2023,2023/106,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Master of Science in Management and Engineering in Computer Aided Mechanical Engineering (MME-CAME), Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacdtfklx,28.09.2023,2023/105,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Master of Science in Management and Engineering in Technology, Innovation, Marketing and Entrepreneurship (MME-TIME), Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacdixnrj,18.09.2023,2023/098,7. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Psychologie (polyvalent), Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaccsczoz,29.08.2023,2023/093,2. Änderungsordnung (Gesamtfassung),
Richtlinien für die Erteilung und Vergütung von Lehraufträgen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaccgchmc,14.08.2023,2023/092,Richtlinie,
"Prüfungsordnung Große beruflichen Fachrichtung Elektrotechnik (Studiengangmodell III), Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaccdkftv,09.08.2023,2023/091,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Materialwissenschaften, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaccawkpt,07.08.2023,2023/090,Ordnung,
"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Berufskollegs, Bachelor (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbsnwnz,25.07.2023,2023/089,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Informatik, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbsntxu,25.07.2023,2023/088,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Architektur, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbsknmn,25.07.2023,2023/081,8. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Engineering Geohazards, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbskfok,25.07.2023,2023/080,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung für das Bildungswissenschaftliche Studium und DSSZ, Lehramt am Berufskolleg, Master, Studiengangmodell III, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbnckai,18.07.2023,2023/079,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Große berufliche Fachrichtung Maschinenbautechnik (Studiengangmodell III), Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbncbws,18.07.2023,2023/078,2. Änderungsordnung (Gesamtfassung),
Fachschaftsrahmenordnung der Studierendenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbnbgpp,18.07.2023,2023/076,10. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Materials Engineering, Master, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbamvnr,11.07.2023,2023/074,1. Änderungsordnung (Gesamtfassung),
Grundordnung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacazghxj,10.07.2023,2023/073,10. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Wirtschaftsingenieurwesen (Business Administration and Engineering), Bachelor, (10/2013)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacazexop,10.07.2023,2023/072,10. Änderungsordnung (Gesamtfassung),30.09.2024
"Prüfungsordnung Nachhaltige Rohstoff- und Energieversorgung, Bachelor, (10/2018 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacaxvley,06.07.2023,2023/063,5. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Physik, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacaxtyev,06.07.2023,2023/061,Berichtigung der Ordnung,
Geschäftsordnung der Ausländerinnen- und Ausländervertretung,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacaquenb,29.06.2023,2023/059,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Technik-Kommunikation, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacajftnx,20.06.2023,2023/058,8. Änderungsordnung (Gesamtfassung),31.03.2027
"Prüfungsordnung Technik-Kommunikation, Bachelor, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacajfoua,20.06.2023,2023/057,8. Änderungsordnung (Gesamtfassung),31.03.2027
"Prüfungsordnung Physik Plus, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabztzjvo,01.06.2023,2023/055,Ordnung,
"Prüfungsordnung Physik, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabztyxfu,01.06.2023,2023/054,Ordnung,
Satzung des Sprachenzentrums,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacbrjblx,23.05.2023,2023/051,2. Änderungsordnung (Gesamtfassung),
Ordnung über den Umgang mit Ordnungsverstößen von Studierenden und Ordnungsmaßnahmen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabzefqvt,11.05.2023,2023/049,Ordnung,
Hausordnung der RWTH,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabyysibj,04.05.2023,2023/048,4. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Automatisierungstechnik, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabyysfpi,04.05.2023,2023/047,9. Änderungsordnung (Gesamtfassung),31.03.2026
"Prüfungsordnung Automatisierungstechnik, Master, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabyyrvsh,04.05.2023,2023/046,1. Änderungsordnung (Gesamtfassung),
Promotionsordnung Fakultät für Maschinenwesen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabymboxy,20.04.2023,2023/044,7. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Chemie, Master, (04/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabxxpusu,04.04.2023,2023/042,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Chemie, Master, (10/2009 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabxxpfvc,04.04.2023,2023/041,9. Änderungsordnung (Gesamtfassung),30.09.2024
Habilitationsordnung Fakultät für Georessourcen und Materialtechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabxffazy,23.03.2023,2023/040,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Lasers in Dentistry, Master, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabxfdyia,23.03.2023,2023/036,2. Änderungsordnung (Gesamtfassung),30.09.2024
Geschäftsordnung für den Tierschutzausschuss,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwxsmsn,16.03.2023,2023/034,Sonstiges,
"Prüfungsordnung Philosophie, Literatur- und Sprachwissenschaft, Bachelor, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwxpldc,16.03.2023,2023/031,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Construction and Robotics, Master, (04/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwqvocr,09.03.2023,2023/028,4. Änderungsordnung (Gesamtfassung),31.03.2027
"Prüfungsordnung berufliche Fachrichtung Elektrotechnik (Studiengangmodell I) oder mit der Großen beruflichen Fachrichtung Elektrotechnik (Studiengangmodell II), Lehramt an Berufskollegs, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwoaymw,07.03.2023,2023/025,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Physik, Lehramt an Berufskollegs, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwoacer,07.03.2023,2023/024,Ordnung,
"Prüfungsordnung Unterrichtsfach Physik, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwnzoas,07.03.2023,2023/023,Ordnung,
"Prüfungsordnung Unterrichtsfach Technik, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabwhscvx,28.02.2023,2023/014,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Wirtschaftsgeographie, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvyrzas,14.02.2023,2023/012,5. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Angewandte Geographie, Master, (10/2013 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvyrshf,14.02.2023,2023/011,5. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Sprach- und Kommunikationswissenschaft, Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvurmut,09.02.2023,2023/008,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung, Literatur- und Sprachwissenschaft, Bachelor, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvqkyem,06.02.2023,2023/007,3. Änderungsordnung (Gesamtfassung),30.09.2026
Satzung für das Auswahlverfahren in örtlich zulassungsbeschränkten Studiengängen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvovooj,03.02.2023,2023/005,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Robotic Systems Engineering, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabvaahms,20.01.2023,2023/002,2. Änderungsordnung (Gesamtfassung),30.09.2024
"Prüfungsordnung Große beruflichen Fachrichtung Maschinenbautechnik, Lehramt an Berufkollegs, Bachelor, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabugokhs,23.12.2022,2022/170,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Master of Business Administration in Digitalization and Industrial Change (Full-Time MBA), Master, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabugcrsx,22.12.2022,2022/169,Ordnung,
"Prüfungsordnung Master of Business Administration in Digitalization and Industrial Change (Full-Time MBA), Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabufpstv,21.12.2022,2022/168,2. Änderungsordnung (Gesamtfassung),31.03.2025
"Fakultätsordnung, Wirtschaftswissenschaften",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabufpasa,21.12.2022,2022/167,6. Änderungsordnung (Gesamtfassung),
Leitlinien und Verfahren zur Sicherung guter wissenschaftlicher Praxis,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabuenrjf,20.12.2022,2022/164,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung, Hebammenwissenschaft, Bachelor, (04/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabudzmaf,19.12.2022,2022/163,1. Änderungsordnung (Gesamtfassung),
"Praxissemester, Master, Lehramt an Gymnasien und Gesamtschulen sowie Lehramt an Berufskollegs",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabudwrpo,19.12.2022,2022/160,Berichtigung der 2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Master of Science in Management and Engineering in Structural Engineering and Risk Management of Industrial Facilities (MME-Construct) der RWTH Aachen und der Maastricht School of Management, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabtxbdqa,12.12.2022,2022/155,4. Änderungsordnung (Gesamtfassung),30.09.2024
"Prüfungsordnung Master of Science in Management and Engineering in Water (MME-Water) der RWTH Aachen und der Maastricht School of Management, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabtrqvts,05.12.2022,2022/154,1. Änderungsordnung (Gesamtfassung),30.09.2024
"Prüfungsordnung Master of Science in Management and Engineering in Structural Engineering and Risk Management of Industrial Facilities (MME-Construct), Master, (10/2021)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabtrpxgb,05.12.2022,2022/153,1. Änderungsordnung (Gesamtfassung),30.09.2024
"Fakultätsordnung, Medizinische Fakultät",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabstobik,09.11.2022,2022/151,7. Änderungsordnung (Gesamtfassung),
Richtlinien zur Vergabe des Social Entrepreneurship Program-Stipendiums der RWTH Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabsnvrao,03.11.2022,2022/150,1. Änderungsordnung (Gesamtfassung),
"Gleichstellungsplan, Rahmenplan",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabsirioh,27.10.2022,2022/149,Ordnung,31.10.2027
"Prüfungsordnung berufliche Fachrichtung Bautechnik, Lehramt an Berufskollegs, Master, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqzukmh,20.09.2022,2022/137,Ordnung,
"Prüfungsordnung Große berufliche Fachrichtung Bautechnik, Lehramt an Berufskollegs, Master, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqzszxz,20.09.2022,2022/136,Ordnung,
"Prüfungsordnung Große berufliche Fachrichtung Bautechnik, Lehramt an Berufskollegs, Bachelor, (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqzsxgg,20.09.2022,2022/135,Ordnung,
Ethik: Satzung der fakultätsübergreifenden Ethikkommission,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqdtlzo,29.08.2022,2022/126,Sonstiges,
"Prüfungsordnung Bildungswissenschaftliche Studium und DSSZ, Lehramt am Berufskolleg, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqdftyu,29.08.2022,2022/121,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Bildungswissenschaftliche Studium und DSSZ, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqdfnrm,29.08.2022,2022/120,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung für das Bildungswissenschaftliche Studium, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2011)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqdeuiz,29.08.2022,2022/119,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung für das Bildungswissenschaftliche Studium, Lehramt am Berufskolleg, Bachelor, (10/2011)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabqddiyq,29.08.2022,2022/118,3. Änderungsordnung (Gesamtfassung),
"Allgemeine Lab-, Atelier- und Werkstattordnung der Fakultät 2",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabptgidn,18.08.2022,2022/106,Ordnung,
Ordnung für die Zulassung von internationalen Studienbewerberinnen und Studienbewerbern,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpkspli,09.08.2022,2022/104,Ordnung,
Promotionsordnung Fakultät Georessourcen und Materialtechnik,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpflubt,02.08.2022,2022/100,6. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Molekulare und Angewandte Biotechnologie, Bachelor, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpfjbst,02.08.2022,2022/098,4. Änderungsordnung (Gesamtfassung),31.03.2028
"Prüfungsordnung Biologie, Bachelor, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpfintz,02.08.2022,2022/097,3. Änderungsordnung (Gesamtfassung),31.03.2028
Übergreifende Prüfungsordnung zur Erweiterung eines lehramtsbezogenen Abschlusses,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpbpboz,27.07.2022,2022/094,1. Änderungsordnung (Gesamtfassung),
Promotionsordnung Philosophische Fakultät,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabpbowwk,27.07.2022,2022/092,12. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Metallurgical Engineering, Master, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabowctrr,19.07.2022,2022/088,8. Änderungsordnung (Gesamtfassung),30.09.2025
Ordnung für den Aachener Hochschulsport,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabowcswn,19.07.2022,2022/087,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Governance von Technologie und Innovation, Master, (10/2019)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabowcibh,19.07.2022,2022/085,Berichtigung der 1. Änderungsordnung (Gesamtfassung),
Satzung des Studierendenwerks Aachen,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaabowayfw,19.07.2022,2022/084,Ordnung,
