Title,PDF URL,Erschienen,Nummer,Ordnung,Auslaufen
"Prüfungsordnung Wirtschaftsingenieurwesen Fachrichtung Werkstoff- und Prozesstechnik, Bachelor",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskhgsz,20.12.2024,2024/167,Ordnung,
"Prüfungsordnung Wirtschaftsingenieurwesen Fachrichtung Bauingenieurwesen, Bachelor",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskhfqc,20.12.2024,2024/166,Ordnung,
"Prüfungsordnung Wirtschaftsingenieurwesen Fachrichtung Elektrische Energietechnik, Bachelor",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskhesq,20.12.2024,2024/165,Ordnung,
"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Berufskollegs, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskhdok,20.12.2024,2024/164,1. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Biologie, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskhbew,20.12.2024,2024/163,1. Änderungsordnung (Gesamtfassung),
Beitragsordnung der Studierendenschaft,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskgysj,20.12.2024,2024/162,25. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Wirtschaftsingenieurwesen (Fachrichtung Maschinenbau), Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskguvm,20.12.2024,2024/161,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Wirtschaftsingenieurwesen Fachrichtung Maschinenbau, Bachelor, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacskgqyv,20.12.2024,2024/160,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Chemie, Lehramt an Berufskollegs, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacsjeekg,19.12.2024,2024/159,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Chemie, Lehramt an Gymnasien und Gesamtschulen, Master, (10/2017)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacsjdwus,19.12.2024,2024/158,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Chemie, Lehramt an Gymnasien und Gesamtschulen, Bachelor, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacsjchmp,19.12.2024,2024/157,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Unterrichtsfach Chemie, Lehramt an Berufskollegs, Bachelor, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacsjcefc,19.12.2024,2024/156,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Klinische Psychologie und Psychotherapie, Master (10/2022)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacshdaxm,17.12.2024,2024/155,2. Änderungsordnung (Gesamtfassung),
Digitallehrkonzept der Philosophischen Fakultät,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacshcuop,17.12.2024,2024/154,Sonstiges,
"Prüfungsordnung Soziologie mit dem Schwerpunkt Technikforschung, Bachelor, (10/2024)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacshcnmf,17.12.2024,2024/153,Berichtigung der Ordnung,
"Fakultätsordnung, Philosophische Fakultät",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacshdwqy,17.12.2024,2024/152,7. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Biomedical Engineering, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacscqwnu,13.12.2024,2024/151,Ordnung,
Auswahlkriterien für das Auswahlverfahren in dem örtlich zulassungsbeschränkten Masterstudiengang Battery Science and Technology in Engineering,https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacrujutz,03.12.2024,2024/150,Ordnung,
"Prüfungsordnung Data Science, Master, (10/2018)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacrqhthv,27.11.2024,2024/149,5. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Human-Centered Intelligent Systems, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacromwuf,25.11.2024,2024/148,Ordnung,
"Prüfungsordnung berufliche Fachrichtung Wirtschaftswissenschaft, Bachelor, Lehramt an Berufskollegs, (10/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacrfnebn,13.11.2024,2024/141,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Software Systems Engineering, Master, (10/2025)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacrexfbh,12.11.2024,2024/140,Berichtigung der Ordnung,
"Prüfungsordnung Software Systems Engineering, Master, (10/2011)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacrewzza,12.11.2024,2024/139,Berichtigung der 5. Änderungsordnung (Gesamtfassung),30.09.2027
"Prüfungsordnung Informatik, Master, (10/2023)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacrewyds,12.11.2024,2024/138,Berichtigung der 2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Informatik, Master, (10/2010 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacrewwlf,12.11.2024,2024/137,Berichtigung der 10. Änderungsordnung (Gesamtfassung),31.03.2026
"Prüfungsordnung Fahrzeugtechnik und Transport, Master, (10/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqvjlsz,31.10.2024,2024/136,2. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Produktentwicklung, Master, (04/2020)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqvixpb,31.10.2024,2024/135,3. Änderungsordnung (Gesamtfassung),
"Prüfungsordnung Produktionstechnik, Master, (04/2011 s)",https://www.rwth-aachen.de/global/show_document.asp?id=aaaaaaaacqvhclj,31.10.2024,2024/134,10. Änderungsordnung (Gesamtfassung),
